t		0.00	0.42	0.84	1.26	1.68	2.11	2.53	2.95	3.37	3.79	4.21	4.63	5.05	5.47	5.89	6.32	6.74	7.16	7.58	8.00	
---------------------------------------------------------
0.04	|	2.295345	2.546142	3.210914	4.095907	5.016394	5.853096	6.547136	7.074929	7.428522	7.605601	7.605601	7.428522	7.074929	6.547136	5.853096	5.016394	4.095907	3.210914	2.546142	2.295345	
0.05	|	2.325132	2.570792	3.224141	4.098152	5.011475	5.844601	6.537190	7.064488	7.417934	7.594978	7.594978	7.417934	7.064488	6.537190	5.844601	5.011475	4.098152	3.224141	2.570792	2.325132	
0.05	|	2.354317	2.595070	3.237388	4.100619	5.006768	5.836233	6.527302	7.054068	7.407354	7.584356	7.584356	7.407354	7.054068	6.527302	5.836233	5.006768	4.100619	3.237388	2.595070	2.354317	
0.05	|	2.382926	2.618985	3.250645	4.103296	5.002270	5.827993	6.517474	7.043671	7.396781	7.573738	7.573738	7.396781	7.043671	6.517474	5.827993	5.002270	4.103296	3.250645	2.618985	2.382926	
0.05	|	2.410983	2.642547	3.263902	4.106172	4.997976	5.819884	6.507709	7.033298	7.386216	7.563122	7.563122	7.386216	7.033298	6.507709	5.819884	4.997976	4.106172	3.263902	2.642547	2.410983	
0.05	|	2.438512	2.665764	3.277151	4.109234	4.993880	5.811904	6.498007	7.022951	7.375660	7.552509	7.552509	7.375660	7.022951	6.498007	5.811904	4.993880	4.109234	3.277151	2.665764	2.438512	
0.05	|	2.465534	2.688647	3.290382	4.112474	4.989979	5.804053	6.488371	7.012630	7.365113	7.541900	7.541900	7.365113	7.012630	6.488371	5.804053	4.989979	4.112474	3.290382	2.688647	2.465534	
0.05	|	2.492069	2.711203	3.303590	4.115879	4.986266	5.796333	6.478801	7.002338	7.354576	7.531295	7.531295	7.354576	7.002338	6.478801	5.796333	4.986266	4.115879	3.303590	2.711203	2.492069	
0.05	|	2.518135	2.733441	3.316768	4.119441	4.982738	5.788741	6.469299	6.992075	7.344051	7.520694	7.520694	7.344051	6.992075	6.469299	5.788741	4.982738	4.119441	3.316768	2.733441	2.518135	
0.06	|	2.543751	2.755370	3.329909	4.123149	4.979388	5.781279	6.459868	6.981843	7.333537	7.510098	7.510098	7.333537	6.981843	6.459868	5.781279	4.979388	4.123149	3.329909	2.755370	2.543751	
0.06	|	2.568932	2.776996	3.343009	4.126996	4.976213	5.773945	6.450506	6.971642	7.323035	7.499507	7.499507	7.323035	6.971642	6.450506	5.773945	4.976213	4.126996	3.343009	2.776996	2.568932	
0.06	|	2.593694	2.798327	3.356064	4.130973	4.973208	5.766738	6.441217	6.961474	7.312547	7.488921	7.488921	7.312547	6.961474	6.441217	5.766738	4.973208	4.130973	3.356064	2.798327	2.593694	
0.06	|	2.618051	2.819372	3.369068	4.135071	4.970366	5.759658	6.432000	6.951340	7.302072	7.478342	7.478342	7.302072	6.951340	6.432000	5.759658	4.970366	4.135071	3.369068	2.819372	2.618051	
0.06	|	2.642017	2.840136	3.382019	4.139284	4.967685	5.752704	6.422857	6.941242	7.291612	7.467769	7.467769	7.291612	6.941242	6.422857	5.752704	4.967685	4.139284	3.382019	2.840136	2.642017	
0.06	|	2.665606	2.860627	3.394912	4.143604	4.965158	5.745874	6.413788	6.931179	7.281167	7.457203	7.457203	7.281167	6.931179	6.413788	5.745874	4.965158	4.143604	3.394912	2.860627	2.665606	
0.06	|	2.688828	2.880851	3.407746	4.148024	4.962782	5.739167	6.404795	6.921154	7.270738	7.446645	7.446645	7.270738	6.921154	6.404795	5.739167	4.962782	4.148024	3.407746	2.880851	2.688828	
0.06	|	2.711697	2.900815	3.420517	4.152539	4.960551	5.732582	6.395876	6.911167	7.260326	7.436095	7.436095	7.260326	6.911167	6.395876	5.732582	4.960551	4.152539	3.420517	2.900815	2.711697	
0.07	|	2.734222	2.920524	3.433223	4.157140	4.958462	5.726118	6.387034	6.901219	7.249931	7.425553	7.425553	7.249931	6.901219	6.387034	5.726118	4.958462	4.157140	3.433223	2.920524	2.734222	
0.07	|	2.756414	2.939985	3.445862	4.161824	4.956509	5.719773	6.378269	6.891311	7.239555	7.415021	7.415021	7.239555	6.891311	6.378269	5.719773	4.956509	4.161824	3.445862	2.939985	2.756414	
0.07	|	2.778284	2.959204	3.458433	4.166585	4.954689	5.713545	6.369580	6.881443	7.229198	7.404498	7.404498	7.229198	6.881443	6.369580	5.713545	4.954689	4.166585	3.458433	2.959204	2.778284	
0.07	|	2.799840	2.978185	3.470932	4.171416	4.952997	5.707433	6.360968	6.871618	7.218861	7.393985	7.393985	7.218861	6.871618	6.360968	5.707433	4.952997	4.171416	3.470932	2.978185	2.799840	
0.07	|	2.821091	2.996934	3.483360	4.176314	4.951430	5.701436	6.352434	6.861835	7.208544	7.383483	7.383483	7.208544	6.861835	6.352434	5.701436	4.951430	4.176314	3.483360	2.996934	2.821091	
0.07	|	2.842046	3.015457	3.495715	4.181273	4.949982	5.695551	6.343977	6.852095	7.198249	7.372993	7.372993	7.198249	6.852095	6.343977	5.695551	4.949982	4.181273	3.495715	3.015457	2.842046	
0.07	|	2.862714	3.033758	3.507996	4.186290	4.948651	5.689778	6.335597	6.842400	7.187976	7.362514	7.362514	7.187976	6.842400	6.335597	5.689778	4.948651	4.186290	3.507996	3.033758	2.862714	
0.07	|	2.883101	3.051843	3.520201	4.191359	4.947432	5.684114	6.327295	6.832748	7.177725	7.352048	7.352048	7.177725	6.832748	6.327295	5.684114	4.947432	4.191359	3.520201	3.051843	2.883101	
0.08	|	2.903215	3.069715	3.532331	4.196478	4.946322	5.678557	6.319070	6.823143	7.167498	7.341596	7.341596	7.167498	6.823143	6.319070	5.678557	4.946322	4.196478	3.532331	3.069715	2.903215	
0.08	|	2.923064	3.087379	3.544385	4.201641	4.945317	5.673106	6.310922	6.813583	7.157294	7.331157	7.331157	7.157294	6.813583	6.310922	5.673106	4.945317	4.201641	3.544385	3.087379	2.923064	
0.08	|	2.942654	3.104840	3.556361	4.206846	4.944414	5.667759	6.302851	6.804069	7.147116	7.320732	7.320732	7.147116	6.804069	6.302851	5.667759	4.944414	4.206846	3.556361	3.104840	2.942654	
0.08	|	2.961992	3.122101	3.568260	4.212089	4.943609	5.662515	6.294857	6.794602	7.136963	7.310323	7.310323	7.136963	6.794602	6.294857	5.662515	4.943609	4.212089	3.568260	3.122101	2.961992	
0.08	|	2.981083	3.139168	3.580081	4.217367	4.942899	5.657371	6.286939	6.785183	7.126836	7.299929	7.299929	7.126836	6.785183	6.286939	5.657371	4.942899	4.217367	3.580081	3.139168	2.981083	
